"partida_id","rodata","clube","atleta","minuto","tipo_de_gol"
"4670","7","Goias","Jackson de Souza","5",""
"4671","7","Corinthians","Jadson","38",""
"4673","7","Cruzeiro","Willian Gomes de Siqueira","70",""
"4675","7","Chapecoense","Tiago Luís Martins","42",""
"4671","7","Corinthians","Jadson","55","Penalty"
"4671","7","Sport","Augusto","28",""
"4672","7","Athletico-PR","Marcos Guilherme","56",""
"4673","7","Cruzeiro","Marcelo Moreno","88",""
"4675","7","Chapecoense","Derivaldo Beserra Cavalcante","47",""
"4671","7","Corinthians","Romarinho","20",""
"4673","7","Internacional","Wellington Aparecido Martins","39",""
"4674","7","Botafogo-RJ","Emerson Sheik","43",""
"4671","7","Corinthians","Romarinho","68",""
"4673","7","Cruzeiro","Ricardo Goulart","43",""
"4674","7","Vitoria","Telmário de Araújo Sacramento","69",""
"4678","8","Botafogo-RJ","Pablo Zeballos","90+4",""
"4683","8","Athletico-PR","Renato Baruffi","30",""
"4684","8","Atletico-MG","Diego Tardelli","65",""
"4680","8","Internacional","Wellington Paulista","25",""
"4683","8","Athletico-PR","Cléverson Gabriel Córdova","90",""
"4683","8","Sao Paulo","Rogério Ceni","76","Penalty"
"4677","8","Criciuma","Fábio Ferreira","58",""
"4680","8","Internacional","Wellington Paulista","79",""
"4683","8","Sao Paulo","Luís Fabiano","90+2",""
"4678","8","Botafogo-RJ","Mario Bolatti","61",""
"4682","8","Corinthians","Paolo Guerrero","68",""
"4684","8","Atletico-MG","Jesús Dátolo","53",""
"4686","8","Santos","Lucas Rafael Araújo Lima","89",""
"4685","8","Flamengo","Alecsandro","20",""
"4685","8","Figueirense","Everaldo Stum","22",""
"4686","8","Santos","Alan Santos da Silva","62",""
"4688","9","Sao Paulo","Luís Fabiano","11",""
"4687","9","Coritiba","Alexsandro de Souza","5",""
"4688","9","Sao Paulo","Dorlan Pabón","90",""
"4687","9","Coritiba","Keirrison","15",""
"4688","9","Atletico-MG","Josué Anunciado de Oliveira","79",""
"4687","9","Coritiba","Dener Assunção Braz","44",""
"4689","9","Sport","Neto Baiano","48",""
"4691","9","Chapecoense","Abuda","54",""
"4692","9","Cruzeiro","Éverton Ribeiro","18",""
"4694","9","Santos","Gabriel Barbosa","11",""
"4695","9","Athletico-PR","Douglas Coutinho","53",""
"4691","9","Chapecoense","José Carlos Tofolo Júnior","71",""
"4692","9","Cruzeiro","Borges","45+1",""
"4694","9","Santos","Diego Cardoso","18",""
"4695","9","Athletico-PR","Douglas Coutinho","90+3",""
"4691","9","Bahia","Demerson Bruno Costa","86",""
"4693","9","Fluminense","Jean Raphael Vanderlei Moreira","31",""
"4695","9","Figueirense","Everaldo Stum","74",""
"4692","9","Cruzeiro","Ricardo Goulart","16",""
"4693","9","Internacional","Jorge Henrique","22",""
"4695","9","Athletico-PR","Douglas Coutinho","45+2",""
"4697","28","Corinthians","Jadson","25",""
"4697","28","Botafogo-RJ","Edílson Mendes Guimarães","87",""
"4656","5","Sport","Mike dos Santos Nenatarvicius","73",""
"4708","10","Figueirense","Thiago Heleno","5",""
"4710","10","Criciuma","Sérgio Antônio Borges Júnior","67",""
"4712","10","Flamengo","Samir","35",""
"4710","10","Criciuma","Paulo Baier","40","Penalty"
"4708","10","Figueirense","Everaldo Stum","69",""
"4710","10","Fluminense","Darío Conca","84",""
"4712","10","Athletico-PR","Douglas Coutinho","20",""
"4711","10","Sao Paulo","Rogério Ceni","13","Penalty"
"4709","10","Sport","Neto Baiano","44",""
"4710","10","Fluminense","Matheus Carvalho","85",""
"4712","10","Athletico-PR","Cleberson Martins de Souza","61",""
"4710","10","Criciuma","Paulo Baier","59",""
"4711","10","Sao Paulo","Alan Kardec","20",""
"4713","10","Corinthians","Fagner","10",""
"4715","10","Cruzeiro","Ricardo Goulart","72",""
"4713","10","Internacional","Cláudio Winck","90+1",""
"4715","10","Cruzeiro","Éverton Ribeiro","76",""
"4714","10","Santos","Bruno Uvini","24",""
"4715","10","Vitoria","Ayrton Ganino","90+2",""
"4715","10","Cruzeiro","Rafael Berger","62","Gol Contra"
"4713","10","Corinthians","Paolo Guerrero","7",""
"4714","10","Santos","Alison Lopes Ferreira","69",""
"4719","11","Bahia","Cristian Chagas Tarouco","25",""
"4717","11","Chapecoense","Ricardo Conceição","57",""
"4720","11","Botafogo-RJ","Mario Bolatti","12",""
"4718","11","Gremio","Giuliano Victor de Paula","4",""
"4719","11","Atletico-MG","Luan Madson Gedeão de Paiva","66",""
"4721","11","Internacional","Alex Raphael Meschini","78",""
"4724","11","Athletico-PR","Marcelo Cirino da Silva","53",""
"4722","11","Palmeiras","Fernando Tobio","54",""
"4724","11","Athletico-PR","Douglas Coutinho","59",""
"4721","11","Internacional","Rafael Moura","16",""
"4722","11","Cruzeiro","Ricardo Goulart","8",""
"4725","11","Fluminense","Darío Conca","62",""
"4721","11","Internacional","Andrés D'Alessandro","45+3","Penalty"
"4721","11","Internacional","Fabrício dos Santos Silva","58",""
"4722","11","Cruzeiro","Manoel Messias Silva Carvalho","10",""
"4728","12","Cruzeiro","Lucas Silva Borges","41","Penalty"
"4727","12","Santos","Gabriel Barbosa","52",""
"4728","12","Cruzeiro","Ricardo Goulart","72",""
"4729","12","Vitoria","Caio Canedo Corrêa","67",""
"4727","12","Santos","Diego Cardoso","80",""
"4728","12","Cruzeiro","Dagoberto Pelentier","79",""
"4729","12","Vitoria","Ayrton Ganino","84",""
"4728","12","Cruzeiro","Marcos Antônio da Silva Gonçalves","47",""
"4729","12","Criciuma","Sérgio Antônio Borges Júnior","90",""
"4730","12","Internacional","Wellington do Nascimento Silva","66",""
"4727","12","Santos","Rildo de Andrade Felicissimo","13",""
"4728","12","Cruzeiro","Dedé","50",""
"4729","12","Vitoria","Caio Canedo Corrêa","19",""
"4731","12","Goias","Bruno Mineiro","49",""
"4733","12","Corinthians","Paolo Guerrero","51",""
"4735","12","Flamengo","Alecsandro","33",""
"4736","12","Coritiba","Zé Love","73",""
"4732","12","Fluminense","Darío Conca","35","Penalty"
"4731","12","Sao Paulo","Kaká","76",""
"4733","12","Corinthians","Petros","90+1",""
"4736","12","Gremio","Hernán Barcos","57",""
"4736","12","Coritiba","Alexsandro de Souza","90+4",""
"4734","12","Atletico-MG","Diego Tardelli","85","Penalty"
"4732","12","Fluminense","Jean Raphael Vanderlei Moreira","18",""
"4734","12","Sport","Felipe Azevedo","51",""
"4736","12","Gremio","Hernán Barcos","65",""
"4731","12","Goias","Willian José de Souza","44",""
"4732","12","Fluminense","Cícero Santos","65",""
"4734","12","Sport","Durval","69",""
"4736","12","Coritiba","Zé Love","49",""
"4738","13","Sao Paulo","Alan Kardec","74",""
"4739","13","Gremio","Hernán Barcos","11",""
"4738","13","Criciuma","Rodrigo Souza","80",""
"4737","13","Botafogo-RJ","Edílson Mendes Guimarães","25",""
"4739","13","Vitoria","Caio Canedo Corrêa","59",""
"4737","13","Cruzeiro","Leonardo Renan Simões de Lacerda","60",""
"4739","13","Vitoria","Caio Canedo Corrêa","77",""
"4745","13","Fluminense","David França Oliveira e Silva","20","Gol Contra"
"4743","13","Figueirense","Léo Lisboa","42",""
"4745","13","Fluminense","Cícero Santos","10",""
"4746","13","Atletico-MG","Léo Pereira","76","Gol Contra"
"4740","13","Palmeiras","Henrique Dourado","61",""
"4743","13","Figueirense","Clayton da Silveira da Silva","76",""
"4746","13","Atletico-MG","Leonardo Silva","34",""
"4746","13","Atletico-MG","Deivid Willian da Silva","87","Gol Contra"
"4740","13","Bahia","Kieza","63",""
"4743","13","Figueirense","Marco Antônio Miranda Filho","84",""
"4746","13","Athletico-PR","Marcos Guilherme","56",""
"4741","13","Chapecoense","Rafael Lima","7",""
"4744","13","Internacional","Rafael Moura","57",""
"4716","10","Atletico-MG","Leonardo Silva","90+3",""
"4716","10","Chapecoense","Jailton","42",""
"4749","14","Fluminense","Elivélton","25",""
"4749","14","Coritiba","Germano Borovicz Cardoso Schweger","82",""
"4748","14","Bahia","Fahel","31",""
"4752","14","Athletico-PR","Cléverson Gabriel Córdova","45+1",""
"4754","14","Atletico-MG","Diego Tardelli","44",""
"4756","14","Sao Paulo","Alexandre Pato","17",""
"4752","14","Athletico-PR","Douglas Coutinho","90+3",""
"4754","14","Atletico-MG","Jesús Dátolo","87",""
"4756","14","Sao Paulo","Alexandre Pato","39",""
"4750","14","Flamengo","Eduardo da Silva","85",""
"4753","14","Internacional","Charles Aránguiz","62",""
"4754","14","Palmeiras","Henrique Dourado","54",""
"4756","14","Sao Paulo","Alan Kardec","32",""
"4751","14","Corinthians","Carlos Gilberto do Nascimento Silva","84",""
"4753","14","Internacional","Cláudio Winck","85",""
"4755","14","Figueirense","Marcos Roberto da Silva Barbosa","87",""
"4756","14","Vitoria","Kadu","45+2",""
"4758","15","Corinthians","Carlos Gilberto do Nascimento Silva","43",""
"4758","15","Bahia","Kieza","36",""
"4757","15","Internacional","Pedro Henrique Pereira da Silva","77","Gol Contra"
"4761","15","Gremio","Luan Guilherme de Jesus Vieira","11","Penalty"
"4766","15","Figueirense","Leonardo Silva","25","Gol Contra"
"4760","15","Sao Paulo","Alan Kardec","89",""
"4762","15","Cruzeiro","Júlio Baptista","88",""
"4765","15","Athletico-PR","Cleberson Martins de Souza","25",""
"4766","15","Atletico-MG","Diego Tardelli","74","Penalty"
"4761","15","Gremio","Lucas Coelho","49",""
"4764","15","Botafogo-RJ","Daniel Corrêa Freitas","65",""
"4766","15","Figueirense","Clayton da Silveira da Silva","90+1",""
"4759","15","Flamengo","Éverton Cardoso da Silva","17",""
"4762","15","Cruzeiro","Marcelo Moreno","25",""
"4764","15","Botafogo-RJ","Pablo Zeballos","68",""
"4766","15","Atletico-MG","Jesús Dátolo","8",""
"4760","15","Palmeiras","Henrique Dourado","60","Penalty"
"4760","15","Sao Paulo","Alexandre Pato","53",""
"4762","15","Cruzeiro","Ricardo Goulart","48",""
"4765","15","Sport","Régis","40",""
"4767","16","Palmeiras","Henrique Dourado","14",""
"4770","16","Coritiba","Luiz Eduardo Figueiredo","18",""
"4774","16","Sao Paulo","Paulo Henrique Ganso","36",""
"4767","16","Sport","Fábio Szymonek","23","Gol Contra"
"4768","16","Figueirense","Clayton da Silveira da Silva","2",""
"4772","16","Chapecoense","Camilo","60",""
"4770","16","Coritiba","Keirrison","63","Penalty"
"4769","16","Santos","Leandro Damião","45",""
"4773","16","Flamengo","Eduardo da Silva","71",""
"4773","16","Flamengo","Léo Moura","65","Penalty"
"4767","16","Sport","Patric Cabral Lalau","33",""
"4769","16","Santos","Thiago Ribeiro","67",""
"4773","16","Atletico-MG","Maicosuel","10",""
"4775","16","Corinthians","Luciano da Rocha Neves","85",""
"4776","16","Cruzeiro","Dagoberto Pelentier","86",""
"4775","16","Corinthians","Paolo Guerrero","22",""
"4775","16","Corinthians","Luciano da Rocha Neves","89",""
"4775","16","Corinthians","Elias Mendes Trindade","65",""
"4775","16","Goias","Thiago Henrique Mendes Ribeiro","11",""
"4775","16","Corinthians","Luciano da Rocha Neves","78",""
"4775","16","Goias","Jackson de Souza","60",""
"4777","17","Atletico-MG","Diego Tardelli","82",""
"4778","17","Botafogo-RJ","Luis Ramírez","31",""
"4779","17","Palmeiras","Juninho","14",""
"4781","17","Flamengo","Lucas Mugni","78","Penalty"
"4780","17","Gremio","Hernán Barcos","46",""
"4782","17","Figueirense","Everaldo Stum","75",""
"4784","17","Fluminense","Fred","43",""
"4783","17","Santos","Gabriel Barbosa","86","Penalty"
"4780","17","Gremio","Hernán Barcos","49",""
"4783","17","Sao Paulo","Paulo Henrique Ganso","24",""
"4784","17","Fluminense","Fred","80",""
"4780","17","Corinthians","Paolo Guerrero","62",""
"4783","17","Sao Paulo","Alexandre Pato","88",""
"4784","17","Fluminense","Darío Conca","50",""
"4781","17","Flamengo","Eduardo da Silva","82",""
"4784","17","Fluminense","Cícero Santos","35",""
"4785","17","Cruzeiro","Marcelo Moreno","25",""
"4787","18","Internacional","Jorge Henrique","20",""
"4788","18","Cruzeiro","Alisson Euler de Freitas Castro","58",""
"4788","18","Cruzeiro","Leonardo Renan Simões de Lacerda","50",""
"4788","18","Chapecoense","Zezinho","11",""
"4788","18","Cruzeiro","Marcelo Moreno","52",""
"4788","18","Chapecoense","Bruno Rangel","70",""
"4788","18","Cruzeiro","Marcelo Moreno","71",""
"4796","18","Flamengo","Alecsandro","71","Penalty"
"4791","18","Sport","Neto Baiano","50",""
"4794","18","Gremio","Hernán Barcos","59",""
"4795","18","Athletico-PR","Cléverson Gabriel Córdova","63",""
"4791","18","Sport","Danilo Barcelos","52",""
"4795","18","Goias","Erik Nascimento de Lima","39",""
"4796","18","Vitoria","Caio Canedo Corrêa","40",""
"4789","18","Fluminense","Fred","43","Penalty"
"4792","18","Figueirense","Giovanni Augusto","48",""
"4795","18","Goias","Erik Nascimento de Lima","43",""
"4796","18","Flamengo","Marcelo Augusto Mathias da Silva","33",""
"4792","18","Sao Paulo","Rogério Ceni","76","Penalty"
"4789","18","Corinthians","Romarinho","74",""
"4793","18","Botafogo-RJ","Daniel Corrêa Freitas","63",""
"4795","18","Goias","Erik Nascimento de Lima","84",""
"4797","19","Santos","David Braz","52",""
"4797","19","Santos","Leandro Damião","74",""
"4797","19","Vitoria","Telmário de Araújo Sacramento","65",""
"4797","19","Santos","David Braz","47",""
"4798","19","Gremio","Luan Guilherme de Jesus Vieira","90+1",""
"4800","19","Sao Paulo","Alexandre Pato","26",""
"4803","19","Fluminense","Kenedy","88",""
"4806","19","Internacional","Paulo Marcos de Jesus Ribeiro","35",""
"4803","19","Cruzeiro","Júlio Baptista","14","Penalty"
"4802","19","Atletico-MG","Leonardo Silva","70",""
"4803","19","Cruzeiro","Júlio Baptista","44",""
"4806","19","Figueirense","Everaldo Stum","51",""
"4805","19","Palmeiras","Henrique Dourado","53","Penalty"
"4800","19","Sao Paulo","Rithely","7","Gol Contra"
"4803","19","Fluminense","Wagner Ferreira dos Santos","17",""
"4803","19","Cruzeiro","Marcelo Moreno","58",""
"4806","19","Figueirense","Marco Antônio Miranda Filho","75",""
"4806","19","Internacional","Andrés D'Alessandro","18","Penalty"
"4803","19","Fluminense","Cícero Santos","23",""
"4805","19","Athletico-PR","Guilherme Augusto Dellatorre","29",""
"4806","19","Figueirense","Giovanni Augusto","76",""
"4814","20","Vitoria","Richarlyson","8",""
"4807","20","Gremio","Hernán Barcos","90+2",""
"4810","20","Sport","Patric Cabral Lalau","41",""
"4811","20","Coritiba","Róbson Michael Signorini","1",""
"4813","20","Botafogo-RJ","Pablo Zeballos","20",""
"4813","20","Sao Paulo","Josef de Souza Dias","42",""
"4814","20","Vitoria","Márcio José Oliveira","56",""
"4808","20","Palmeiras","Jonatan Cristaldo","82",""
"4810","20","Sport","Patric Cabral Lalau","53",""
"4811","20","Coritiba","Alejandro Martinuccio","14",""
"4813","20","Botafogo-RJ","André Bahia","23",""
"4813","20","Sao Paulo","Alexandre Pato","81",""
"4809","20","Figueirense","Everaldo Stum","39",""
"4810","20","Sport","Patric Cabral Lalau","90+1",""
"4811","20","Coritiba","Joel Tagueu","76",""
"4813","20","Sao Paulo","Alan Kardec","8",""
"4809","20","Fluminense","Cícero Santos","85",""
"4810","20","Santos","Thiago Ribeiro","25",""
"4812","20","Goias","Samuel","70",""
"4813","20","Sao Paulo","Josef de Souza Dias","37",""
"4816","20","Bahia","Rafael Miranda","30",""
"4816","20","Cruzeiro","Éverton Ribeiro","54","Penalty"
"4815","20","Corinthians","Petros","14",""
"4816","20","Cruzeiro","Ricardo Goulart","71",""
"4818","21","Chapecoense","Douglas Grolli","87",""
"4819","21","Coritiba","Luiz Eduardo Figueiredo","88",""
"4817","21","Fluminense","Fred","7",""
"4818","21","Chapecoense","Tiago Luís Martins","46",""
"4817","21","Fluminense","Fred","35","Penalty"
"4817","21","Fluminense","Darío Conca","63",""
"4819","21","Santos","Lucas Rafael Araújo Lima","13",""
"4818","21","Sport","Felipe Azevedo","83","Penalty"
"4818","21","Chapecoense","Douglas Grolli","42",""
"4819","21","Santos","Robinho","39",""
"4821","21","Internacional","Alex Raphael Meschini","41",""
"4824","21","Athletico-PR","Marcelo Cirino da Silva","30",""
"4820","21","Bahia","Kieza","18",""
"4821","21","Internacional","Eduardo Sasha","59",""
"4824","21","Athletico-PR","Hernani Azevedo Junior","70",""
"4820","21","Bahia","Kieza","25",""
"4822","21","Flamengo","Wallace Reis da Silva","65",""
"4826","21","Criciuma","Luís Felipe Dias do Nascimento","63",""
"4820","21","Bahia","Maxi Biancucchi","84",""
"4823","21","Sao Paulo","Alan Kardec","71",""
"4823","21","Sao Paulo","Rogério Ceni","36","Penalty"
"4831","22","Botafogo-RJ","Emerson Sheik","43","Penalty"
"4827","22","Vitoria","William Henrique","71",""
"4828","22","Cruzeiro","Marcelo Moreno","55",""
"4831","22","Bahia","Maxi Biancucchi","73",""
"4832","22","Flamengo","Héctor Canteros","13",""
"4833","22","Coritiba","Joel Tagueu","86",""
"4827","22","Vitoria","Vinícius Santos Silva","76",""
"4830","22","Figueirense","Thiago Heleno","63",""
"4831","22","Bahia","Wellington Clayton Gonçalves dos Santos","90",""
"4832","22","Flamengo","Alecsandro","32",""
"4833","22","Sao Paulo","Michel Bastos","45+1",""
"4827","22","Fluminense","Cícero Santos","19",""
"4830","22","Criciuma","Silvinho","45+1",""
"4832","22","Palmeiras","Diogo Luís Santo","48",""
"4833","22","Coritiba","Hélder","60",""
"4827","22","Vitoria","Telmário de Araújo Sacramento","67",""
"4828","22","Cruzeiro","Alisson Euler de Freitas Castro","27",""
"4831","22","Botafogo-RJ","Emerson Sheik","29",""
"4832","22","Palmeiras","Victor Luis","69",""
"4833","22","Coritiba","Joel Tagueu","63",""
"4831","22","Bahia","Dankler","31","Gol Contra"
"4835","22","Goias","Jackson de Souza","90+3",""
"4834","22","Chapecoense","Wéverton Almeida Santos","50","Gol Contra"
"4835","22","Atletico-MG","Guilherme Milhomem Gusmão","18",""
"4834","22","Corinthians","Malcom Filipe Silva de Oliveira","10",""
"4835","22","Atletico-MG","Guilherme Milhomem Gusmão","42",""
"4835","22","Goias","Erik Nascimento de Lima","79",""
"4835","22","Atletico-MG","Carlos Júnior","45",""
"4837","23","Internacional","Rafael Moura","81",""
"4838","23","Criciuma","Paulo Baier","68","Penalty"
"4838","23","Botafogo-RJ","Pablo Zeballos","37","Penalty"
"4842","23","Corinthians","Fábio Santos","66","Penalty"
"4839","23","Atletico-MG","Carlos Júnior","90+1",""
"4841","23","Sport","Felipe Azevedo","75",""
"4843","23","Vitoria","Kadu","9",""
"4844","23","Santos","Robinho","57",""
"4845","23","Goias","Erik Nascimento de Lima","27",""
"4846","23","Gremio","Eduardo Pereira Rodrigues","8",""
"4844","23","Figueirense","Giovanni Augusto","45+3","Penalty"
"4839","23","Cruzeiro","Ricardo Goulart","45+2",""
"4839","23","Atletico-MG","Diego Tardelli","41",""
"4842","23","Corinthians","Paolo Guerrero","74",""
"4843","23","Vitoria","Luiz Gustavo","53",""
"4844","23","Santos","Lucas Rafael Araújo Lima","89",""
"4845","23","Goias","David França Oliveira e Silva","37",""
"4839","23","Cruzeiro","Alisson Euler de Freitas Castro","52",""
"4840","23","Flamengo","Eduardo da Silva","27",""
"4842","23","Sao Paulo","Josef de Souza Dias","6",""
"4843","23","Bahia","Kieza","6",""
"4845","23","Goias","Ramón Rodrigo de Freitas","7",""
"4845","23","Goias","Thiago Henrique Mendes Ribeiro","49",""
"4842","23","Corinthians","Fábio Santos","36","Penalty"
"4839","23","Atletico-MG","Carlos Júnior","39",""
"4840","23","Fluminense","Fred","45",""
"4842","23","Sao Paulo","Édson José da Silva","45",""
"4844","23","Santos","Leandro Damião","41",""
"4845","23","Goias","Esquerdinha","12",""
"4845","23","Goias","Welinton Júnior","90",""
"4848","24","Coritiba","Alejandro Martinuccio","62",""
"4850","24","Chapecoense","Camilo","67",""
"4851","24","Flamengo","Alecsandro","87",""
"4847","24","Internacional","Charles Aránguiz","39",""
"4848","24","Cruzeiro","Éverton Ribeiro","39",""
"4850","24","Chapecoense","Leandro","89",""
