ID,Rodada,Data,Hora,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Mandante Estado,Visitante Estado,Estado Vencedor
34,4,2003-04-17,20:30,Quinta-feira,Fluminense,Internacional,Fluminense,maracana,3,1,RJ,RS,RJ
35,4,2003-04-17,20:30,Quinta-feira,Sao Paulo,Fortaleza,Sao Paulo,morumbi,3,1,SP,CE,SP
36,4,2003-04-17,20:30,Quinta-feira,Parana,Goias,Parana,pinheirao,3,1,PR,GO,PR
49,5,2003-04-19,16:00,Sabado,Bahia,Atletico-MG,Atletico-MG,fonte nova,2,4,BA,MG,MG
50,5,2003-04-19,16:00,Sabado,Sao Caetano,Gremio,-,anacleto campanella,1,1,SP,RS,-
51,5,2003-04-19,18:00,Sabado,Flamengo,Santos,Santos,maracana,0,2,RJ,SP,SP
52,5,2003-04-20,16:00,Domingo,Sao Paulo,Vasco,Sao Paulo,morumbi,3,1,SP,RJ,SP
53,5,2003-04-20,16:00,Domingo,Internacional,Corinthians,Internacional,beira rio,2,1,RS,SP,RS
54,5,2003-04-20,16:00,Domingo,Criciuma,Guarani,Criciuma,heriberto hulse,1,0,SC,SP,SC
55,5,2003-04-20,16:00,Domingo,Juventude,Vitoria,-,alfredo jaconi,1,1,RS,BA,-
56,5,2003-04-20,16:00,Domingo,Fortaleza,Athletico-PR,Fortaleza,presidente vargas,1,0,CE,PR,CE
57,5,2003-04-20,16:00,Domingo,Ponte Preta,Paysandu,-,moises lucarelli,4,4,SP,PA,-
58,5,2003-04-20,18:00,Domingo,Cruzeiro,Goias,Cruzeiro,mineirao,4,1,MG,GO,MG
59,5,2003-04-20,18:00,Domingo,Fluminense,Parana,-,maracana,0,0,RJ,PR,-
60,5,2003-04-21,20:30,Segunda-feira,Coritiba,Figueirense,Coritiba,couto pereira,1,0,PR,SC,PR
61,6,2003-04-26,16:00,Sabado,Atletico-MG,Coritiba,Coritiba,mineirao,1,2,MG,PR,PR
62,6,2003-04-26,16:00,Sabado,Parana,Bahia,Parana,pinheirao,3,1,PR,BA,PR
63,6,2003-04-26,16:00,Sabado,Vitoria,Internacional,Internacional,barradao,0,3,BA,RS,RS
64,6,2003-04-26,18:00,Sabado,Guarani,Cruzeiro,-,brinco de ouro,1,1,SP,MG,-
65,6,2003-04-27,16:00,Domingo,Corinthians,Flamengo,-,pacaembu,1,1,SP,RJ,-
66,6,2003-04-27,16:00,Domingo,Goias,Juventude,Goias,serra dourada,7,0,GO,RS,GO
67,6,2003-04-27,16:00,Domingo,Figueirense,Ponte Preta,-,orlando scarpelli,0,0,SC,SP,-
68,6,2003-04-27,16:00,Domingo,Santos,Fortaleza,Santos,vila belmiro,4,0,SP,CE,SP
69,6,2003-04-27,16:00,Domingo,Gremio,Fluminense,Fluminense,olimpico,0,1,RS,RJ,RJ
70,6,2003-04-27,16:00,Domingo,Athletico-PR,Criciuma,Athletico-PR,arena da baixada,4,2,PR,SC,PR
71,6,2003-04-27,18:00,Domingo,Paysandu,Sao Paulo,Paysandu,mangueirao,5,2,PA,SP,PA
72,6,2003-04-27,18:00,Domingo,Vasco,Sao Caetano,Vasco,sao januario,1,0,RJ,SP,RJ
73,7,2003-05-03,16:00,Sabado,Flamengo,Vitoria,Flamengo,maracana,2,1,RJ,BA,RJ
74,7,2003-05-03,16:00,Sabado,Bahia,Gremio,Bahia,fonte nova,2,1,BA,RS,BA
75,7,2003-05-03,18:00,Sabado,Cruzeiro,Athletico-PR,Cruzeiro,mineirao,5,2,MG,PR,MG
76,7,2003-05-04,16:00,Domingo,Fortaleza,Corinthians,Corinthians,castelao,1,2,CE,SP,SP
77,7,2003-05-04,16:00,Domingo,Sao Paulo,Figueirense,Sao Paulo,morumbi,3,2,SP,SC,SP
78,7,2003-05-04,16:00,Domingo,Sao Caetano,Paysandu,Sao Caetano,anacleto campanella,2,0,SP,PA,SP
79,7,2003-05-04,16:00,Domingo,Internacional,Goias,Internacional,beira rio,2,1,RS,GO,RS
80,7,2003-05-04,16:00,Domingo,Ponte Preta,Atletico-MG,Ponte Preta,moises lucarelli,2,1,SP,MG,SP
81,7,2003-05-04,16:00,Domingo,Juventude,Guarani,-,alfredo jaconi,1,1,RS,SP,-
82,7,2003-05-04,16:00,Domingo,Coritiba,Parana,Coritiba,couto pereira,2,1,PR,PR,PR
83,7,2003-05-04,18:00,Domingo,Criciuma,Santos,Santos,heriberto hulse,1,3,SC,SP,SP
84,7,2003-05-04,18:00,Domingo,Fluminense,Vasco,-,maracana,0,0,RJ,RJ,-
85,8,2003-05-10,16:00,Sabado,Goias,Flamengo,-,serra dourada,1,1,GO,RJ,-
86,8,2003-05-10,16:00,Sabado,Santos,Cruzeiro,Cruzeiro,vila belmiro,0,2,SP,MG,MG
87,8,2003-05-10,16:00,Sabado,Parana,Ponte Preta,Parana,pinheirao,3,2,PR,SP,PR
88,8,2003-05-10,18:00,Sabado,Corinthians,Criciuma,Corinthians,pacaembu,3,0,SP,SC,SP
89,8,2003-05-11,16:00,Domingo,Vasco,Bahia,-,sao januario,1,1,RJ,BA,-
90,8,2003-05-11,16:00,Domingo,Paysandu,Fluminense,-,mangueirao,2,2,PA,RJ,-
91,8,2003-05-11,16:00,Domingo,Atletico-MG,Sao Paulo,-,mineirao,2,2,MG,SP,-
92,8,2003-05-11,16:00,Domingo,Vitoria,Fortaleza,Vitoria,barradao,2,1,BA,CE,BA
93,8,2003-05-11,16:00,Domingo,Guarani,Internacional,Guarani,brinco de ouro,3,0,SP,RS,SP
94,8,2003-05-11,16:00,Domingo,Athletico-PR,Juventude,Athletico-PR,arena da baixada,2,0,PR,RS,PR
95,8,2003-05-11,16:00,Domingo,Figueirense,Sao Caetano,Figueirense,orlando scarpelli,3,0,SC,SP,SC
96,8,2003-05-11,18:00,Domingo,Gremio,Coritiba,Gremio,olimpico,1,0,RS,PR,RS
97,9,2003-05-17,16:00,Sabado,Fluminense,Figueirense,Fluminense,maracana,3,0,RJ,SC,RJ
98,9,2003-05-17,16:00,Sabado,Sao Caetano,Atletico-MG,Sao Caetano,anacleto campanella,2,0,SP,MG,SP
99,9,2003-05-17,18:00,Sabado,Juventude,Santos,-,alfredo jaconi,1,1,RS,SP,-
100,9,2003-05-18,16:00,Domingo,Bahia,Paysandu,Bahia,fonte nova,2,0,BA,PA,BA
101,9,2003-05-18,16:00,Domingo,Internacional,Athletico-PR,-,beira rio,1,1,RS,PR,-
102,9,2003-05-18,16:00,Domingo,Coritiba,Vasco,-,couto pereira,1,1,PR,RJ,-
103,9,2003-05-18,16:00,Domingo,Cruzeiro,Corinthians,-,mineirao,1,1,MG,SP,-
104,9,2003-05-18,16:00,Domingo,Fortaleza,Goias,Fortaleza,castelao,1,0,CE,GO,CE
105,9,2003-05-18,16:00,Domingo,Ponte Preta,Gremio,Ponte Preta,moises lucarelli,2,1,SP,RS,SP
106,9,2003-05-18,16:00,Domingo,Criciuma,Vitoria,-,heriberto hulse,1,1,SC,BA,-
107,9,2003-05-18,18:00,Domingo,Flamengo,Guarani,-,maracana,1,1,RJ,SP,-
108,9,2003-05-18,18:00,Domingo,Sao Paulo,Parana,Sao Paulo,morumbi,2,0,SP,PR,SP
109,10,2003-05-24,16:00,Sabado,Atletico-MG,Fluminense,Atletico-MG,independencia,3,0,MG,RJ,MG
110,10,2003-05-24,16:00,Sabado,Parana,Sao Caetano,-,pinheirao,1,1,PR,SP,-
111,10,2003-05-24,16:00,Sabado,Corinthians,Juventude,Corinthians,pacaembu,3,0,SP,RS,SP
112,10,2003-05-24,18:00,Sabado,Vasco,Ponte Preta,Vasco,sao januario,1,0,RJ,SP,RJ
113,10,2003-05-25,16:00,Domingo,Athletico-PR,Flamengo,Athletico-PR,arena da baixada,4,1,PR,RJ,PR
114,10,2003-05-25,16:00,Domingo,Paysandu,Coritiba,Coritiba,mangueirao,1,3,PA,PR,PR
115,10,2003-05-25,16:00,Domingo,Goias,Criciuma,Criciuma,serra dourada,0,2,GO,SC,SC
116,10,2003-05-25,16:00,Domingo,Gremio,Sao Paulo,Sao Paulo,olimpico,1,2,RS,SP,SP
117,10,2003-05-25,16:00,Domingo,Guarani,Fortaleza,Guarani,brinco de ouro,2,1,SP,CE,SP
118,10,2003-05-25,16:00,Domingo,Figueirense,Bahia,Figueirense,orlando scarpelli,1,0,SC,BA,SC
119,10,2003-05-25,18:00,Domingo,Vitoria,Cruzeiro,Vitoria,barradao,2,1,BA,MG,BA
120,10,2003-05-25,18:00,Domingo,Santos,Internacional,Santos,vila belmiro,2,1,SP,RS,SP
121,11,2003-05-31,16:00,Sabado,Fluminense,Athletico-PR,Fluminense,edson passos,2,1,RJ,PR,RJ
122,11,2003-05-31,16:00,Sabado,Cruzeiro,Criciuma,Cruzeiro,mineirao,2,0,MG,SC,MG
123,11,2003-05-31,16:00,Sabado,Coritiba,Guarani,Coritiba,couto pereira,3,2,PR,SP,PR
124,11,2003-05-31,16:00,Sabado,Ponte Preta,Sao Caetano,-,moises lucarelli,0,0,SP,SP,-
125,11,2003-05-31,18:00,Sabado,Internacional,Paysandu,Internacional,beira rio,2,1,RS,PA,RS
126,11,2003-06-01,16:00,Domingo,Parana,Flamengo,Parana,pinheirao,6,2,PR,RJ,PR
127,11,2003-06-01,16:00,Domingo,Bahia,Goias,Bahia,fonte nova,2,1,BA,GO,BA
128,11,2003-06-01,16:00,Domingo,Fortaleza,Juventude,Fortaleza,castelao,3,1,CE,RS,CE
129,11,2003-06-01,16:00,Domingo,Figueirense,Gremio,Figueirense,orlando scarpelli,2,1,SC,RS,SC
130,11,2003-06-01,16:00,Domingo,Santos,Sao Paulo,Santos,vila belmiro,3,2,SP,SP,SP
131,11,2003-06-01,18:00,Domingo,Corinthians,Vitoria,Corinthians,pacaembu,4,0,SP,BA,SP
132,11,2003-06-01,18:00,Domingo,Vasco,Atletico-MG,-,sao januario,2,2,RJ,MG,-
144,12,2003-04-18,20:30,Sexta-feira,Flamengo,Cruzeiro,Flamengo,maracana,3,0,RJ,MG,RJ
133,12,2003-06-07,16:00,Sabado,Vitoria,Fluminense,Vitoria,barradao,2,1,BA,RJ,BA
134,12,2003-06-07,16:00,Sabado,Guarani,Santos,Santos,brinco de ouro,1,2,SP,SP,SP
135,12,2003-06-07,16:00,Sabado,Gremio,Fortaleza,Gremio,olimpico,3,1,RS,CE,RS
136,12,2003-06-07,18:00,Sabado,Atletico-MG,Figueirense,-,independencia,1,1,MG,SC,-
137,12,2003-06-08,16:00,Domingo,Paysandu,Parana,Paysandu,mangueirao,3,0,PA,PR,PA
138,12,2003-06-08,16:00,Domingo,Juventude,Vasco,-,alfredo jaconi,0,0,RS,RJ,-
139,12,2003-06-08,16:00,Domingo,Athletico-PR,Ponte Preta,Athletico-PR,arena da baixada,4,2,PR,SP,PR
140,12,2003-06-08,16:00,Domingo,Goias,Coritiba,Coritiba,serra dourada,1,2,GO,PR,PR
141,12,2003-06-08,16:00,Domingo,Sao Caetano,Corinthians,Sao Caetano,anacleto campanella,1,0,SP,SP,SP
142,12,2003-06-08,18:00,Domingo,Criciuma,Internacional,Criciuma,heriberto hulse,1,0,SC,RS,SC
143,12,2003-06-08,18:00,Domingo,Sao Paulo,Bahia,-,morumbi,2,2,SP,BA,-
145,13,2003-06-14,16:00,Sabado,Fluminense,Goias,Goias,maracana,2,3,RJ,GO,GO
146,13,2003-06-14,16:00,Sabado,Ponte Preta,Guarani,Guarani,moises lucarelli,0,2,SP,SP,SP
147,13,2003-06-14,18:00,Sabado,Coritiba,Athletico-PR,Coritiba,couto pereira,2,0,PR,PR,PR
148,13,2003-06-15,16:00,Domingo,Corinthians,Sao Paulo,Sao Paulo,morumbi,1,2,SP,SP,SP
149,13,2003-06-15,16:00,Domingo,Fortaleza,Paysandu,Paysandu,presidente vargas,1,2,CE,PA,PA
150,13,2003-06-15,16:00,Domingo,Parana,Juventude,Juventude,pinheirao,1,2,PR,RS,RS
151,13,2003-06-15,16:00,Domingo,Gremio,Internacional,-,olimpico,0,0,RS,RS,-
152,13,2003-06-15,16:00,Domingo,Santos,Sao Caetano,Sao Caetano,vila belmiro,0,1,SP,SP,SP
153,13,2003-06-15,16:00,Domingo,Criciuma,Figueirense,Criciuma,heriberto hulse,1,0,SC,SC,SC
154,13,2003-06-15,16:00,Domingo,Bahia,Vitoria,Bahia,fonte nova,2,1,BA,BA,BA
155,13,2003-06-15,18:00,Domingo,Vasco,Flamengo,Flamengo,maracana,1,2,RJ,RJ,RJ
156,13,2003-06-15,18:00,Domingo,Cruzeiro,Atletico-MG,-,mineirao,0,0,MG,MG,-
157,14,2003-06-19,16:00,Quinta-feira,Bahia,Coritiba,-,fonte nova,2,2,BA,PR,-
158,14,2003-06-21,16:00,Sabado,Vasco,Criciuma,Vasco,sao januario,2,0,RJ,SC,RJ
159,14,2003-06-21,16:00,Sabado,Atletico-MG,Gremio,Atletico-MG,mineirao,3,2,MG,RS,MG
160,14,2003-06-21,16:00,Sabado,Internacional,Parana,Internacional,beira rio,2,1,RS,PR,RS
161,14,2003-06-21,18:00,Sabado,Sao Paulo,Goias,Sao Paulo,morumbi,1,0,SP,GO,SP
162,14,2003-06-22,16:00,Domingo,Paysandu,Flamengo,-,mangueirao,2,2,PA,RJ,-
163,14,2003-06-22,16:00,Domingo,Ponte Preta,Corinthians,-,moises lucarelli,3,3,SP,SP,-
164,14,2003-06-22,16:00,Domingo,Sao Caetano,Vitoria,Sao Caetano,anacleto campanella,2,1,SP,BA,SP
165,14,2003-06-22,16:00,Domingo,Figueirense,Fortaleza,-,orlando scarpelli,2,2,SC,CE,-
166,14,2003-06-22,18:00,Domingo,Juventude,Cruzeiro,Cruzeiro,alfredo jaconi,0,1,RS,MG,MG
167,14,2003-06-22,18:00,Domingo,Fluminense,Guarani,Fluminense,maracana,5,2,RJ,SP,RJ
168,15,2003-06-28,16:00,Sabado,Fortaleza,Vasco,Vasco,castelao,0,1,CE,RJ,RJ
169,15,2003-06-28,16:00,Sabado,Coritiba,Sao Caetano,Coritiba,couto pereira,2,0,PR,SP,PR
170,15,2003-06-28,16:00,Sabado,Gremio,Juventude,Juventude,olimpico,1,4,RS,RS,RS
171,15,2003-06-28,16:00,Sabado,Santos,Bahia,Santos,vila belmiro,4,0,SP,BA,SP
172,15,2003-06-28,18:00,Sabado,Flamengo,Figueirense,Figueirense,maracana,0,2,RJ,SC,SC
173,15,2003-06-29,16:00,Domingo,Corinthians,Fluminense,Corinthians,pacaembu,1,0,SP,RJ,SP
174,15,2003-06-29,16:00,Domingo,Guarani,Sao Paulo,Sao Paulo,brinco de ouro,0,1,SP,SP,SP
175,15,2003-06-29,16:00,Domingo,Criciuma,Paysandu,Criciuma,heriberto hulse,2,0,SC,PA,SC
176,15,2003-06-29,16:00,Domingo,Vitoria,Athletico-PR,Vitoria,barradao,1,0,BA,PR,BA
177,15,2003-06-29,18:00,Domingo,Cruzeiro,Internacional,Cruzeiro,mineirao,3,2,MG,RS,MG
178,15,2003-06-29,18:00,Domingo,Parana,Atletico-MG,-,pinheirao,1,1,PR,MG,-
179,15,2003-07-30,20:30,Quarta-feira,Athletico-PR,Santos,Santos,arena da baixada,0,2,PR,SP,SP
180,15,2003-07-30,20:30,Quarta-feira,Goias,Ponte Preta,-,serra dourada,0,0,GO,SP,-
181,16,2003-07-05,16:00,Sabado,Vasco,Parana,Parana,sao januario,1,4,RJ,PR,PR
182,16,2003-07-05,16:00,Sabado,Sao Paulo,Sao Caetano,-,morumbi,1,1,SP,SP,-
183,16,2003-07-05,16:00,Sabado,Figueirense,Cruzeiro,Figueirense,orlando scarpelli,1,0,SC,MG,SC
184,16,2003-07-05,16:00,Sabado,Atletico-MG,Paysandu,Atletico-MG,independencia,3,2,MG,PA,MG
185,16,2003-07-06,16:00,Domingo,Gremio,Flamengo,Gremio,olimpico,2,0,RS,RJ,RS
186,16,2003-07-06,16:00,Domingo,Guarani,Goias,Guarani,brinco de ouro,3,2,SP,GO,SP
187,16,2003-07-06,16:00,Domingo,Athletico-PR,Corinthians,Athletico-PR,arena da baixada,3,1,PR,SP,PR
188,16,2003-07-06,16:00,Domingo,Juventude,Internacional,-,alfredo jaconi,1,1,RS,RS,-
189,16,2003-07-06,16:00,Domingo,Fortaleza,Criciuma,Criciuma,presidente vargas,0,1,CE,SC,SC
190,16,2003-07-06,16:00,Domingo,Vitoria,Ponte Preta,Ponte Preta,barradao,1,4,BA,SP,SP
191,16,2003-07-06,18:00,Domingo,Santos,Coritiba,Santos,vila belmiro,3,1,SP,PR,SP
192,16,2003-07-06,18:00,Domingo,Fluminense,Bahia,Fluminense,maracana,1,0,RJ,BA,RJ
193,17,2003-07-09,16:00,Quarta-feira,Sao Caetano,Athletico-PR,-,anacleto campanella,0,0,SP,PR,-
194,17,2003-07-09,16:00,Quarta-feira,Corinthians,Santos,-,morumbi,1,1,SP,SP,-
195,17,2003-07-09,20:30,Quarta-feira,Cruzeiro,Fortaleza,Cruzeiro,mineirao,2,0,MG,CE,MG
196,17,2003-07-09,20:30,Quarta-feira,Bahia,Guarani,Bahia,fonte nova,2,0,BA,SP,BA
197,17,2003-07-09,20:30,Quarta-feira,Paysandu,Figueirense,Paysandu,mangueirao,1,0,PA,SC,PA
198,17,2003-07-09,20:30,Quarta-feira,Goias,Vitoria,-,serra dourada,1,1,GO,BA,-
199,17,2003-07-09,20:30,Quarta-feira,Flamengo,Juventude,Flamengo,maracana,2,1,RJ,RS,RJ
200,17,2003-07-09,21:40,Quarta-feira,Internacional,Vasco,Internacional,beira rio,2,1,RS,RJ,RS
201,17,2003-07-09,21:40,Quarta-feira,Coritiba,Sao Paulo,Sao Paulo,couto pereira,0,2,PR,SP,SP
202,17,2003-07-10,20:30,Quinta-feira,Ponte Preta,Fluminense,Ponte Preta,moises lucarelli,3,0,SP,RJ,SP
203,17,2003-07-10,20:30,Quinta-feira,Criciuma,Atletico-MG,Criciuma,heriberto hulse,1,0,SC,MG,SC
204,17,2003-07-10,20:30,Quinta-feira,Parana,Gremio,Parana,pinheirao,3,1,PR,RS,PR
205,18,2003-07-12,16:00,Sabado,Athletico-PR,Goias,-,arena da baixada,0,0,PR,GO,-
206,18,2003-07-12,16:00,Sabado,Fortaleza,Internacional,Fortaleza,castelao,3,0,CE,RS,CE
207,18,2003-07-12,18:00,Sabado,Vasco,Paysandu,Paysandu,sao januario,0,2,RJ,PA,PA
208,18,2003-07-13,16:00,Domingo,Atletico-MG,Flamengo,Atletico-MG,mineirao,1,0,MG,RJ,MG
209,18,2003-07-13,16:00,Domingo,Ponte Preta,Bahia,Ponte Preta,moises lucarelli,1,0,SP,BA,SP
210,18,2003-07-13,16:00,Domingo,Corinthians,Coritiba,Coritiba,morumbi,0,1,SP,PR,PR
211,18,2003-07-13,16:00,Domingo,Criciuma,Juventude,Criciuma,heriberto hulse,3,0,SC,RS,SC
212,18,2003-07-13,16:00,Domingo,Figueirense,Parana,Figueirense,orlando scarpelli,4,2,SC,PR,SC
213,18,2003-07-13,16:00,Domingo,Sao Caetano,Guarani,Guarani,anacleto campanella,0,2,SP,SP,SP
214,18,2003-07-13,16:00,Domingo,Fluminense,Sao Paulo,Sao Paulo,maracana,1,3,RJ,SP,SP
215,18,2003-07-13,18:00,Domingo,Gremio,Cruzeiro,Cruzeiro,olimpico,0,1,RS,MG,MG
216,18,2003-07-13,18:00,Domingo,Vitoria,Santos,Vitoria,barradao,2,0,BA,SP,BA
217,19,2003-07-16,20:30,Quarta-feira,Flamengo,Fortaleza,Fortaleza,maracana,0,2,RJ,CE,CE
218,19,2003-07-16,20:30,Quarta-feira,Juventude,Figueirense,Figueirense,alfredo jaconi,1,2,RS,SC,SC
219,19,2003-07-16,20:30,Quarta-feira,Bahia,Sao Caetano,-,fonte nova,0,0,BA,SP,-
220,19,2003-07-16,20:30,Quarta-feira,Coritiba,Fluminense,Coritiba,couto pereira,3,0,PR,RJ,PR
221,19,2003-07-16,20:30,Quarta-feira,Guarani,Vitoria,-,brinco de ouro,2,2,SP,BA,-
222,19,2003-07-16,20:30,Quarta-feira,Internacional,Atletico-MG,-,beira rio,3,3,RS,MG,-
223,19,2003-07-16,21:40,Quarta-feira,Santos,Ponte Preta,Santos,vila belmiro,2,1,SP,SP,SP
224,19,2003-07-16,21:40,Quarta-feira,Cruzeiro,Vasco,Cruzeiro,mineirao,4,1,MG,RJ,MG
225,19,2003-07-16,21:40,Quarta-feira,Goias,Corinthians,-,serra dourada,1,1,GO,SP,-
226,19,2003-07-17,20:30,Quinta-feira,Paysandu,Gremio,-,mangueirao,1,1,PA,RS,-
227,19,2003-07-17,20:30,Quinta-feira,Sao Paulo,Athletico-PR,Sao Paulo,morumbi,2,0,SP,PR,SP
228,19,2003-07-31,20:30,Quinta-feira,Parana,Criciuma,Parana,pinheirao,2,1,PR,SC,PR
229,20,2003-07-19,16:00,Sabado,Fluminense,Santos,Santos,giulite coutinho,1,4,RJ,SP,SP
230,20,2003-07-19,16:00,Sabado,Corinthians,Guarani,Corinthians,pacaembu,1,0,SP,SP,SP
231,20,2003-07-19,16:00,Sabado,Fortaleza,Atletico-MG,Fortaleza,castelao,4,3,CE,MG,CE
232,20,2003-07-19,18:00,Sabado,Internacional,Figueirense,Internacional,beira rio,3,0,RS,SC,RS
233,20,2003-07-20,16:00,Domingo,Juventude,Paysandu,Juventude,alfredo jaconi,2,0,RS,PA,RS
234,20,2003-07-20,16:00,Domingo,Athletico-PR,Bahia,Athletico-PR,arena da baixada,2,1,PR,BA,PR
235,20,2003-07-20,16:00,Domingo,Ponte Preta,Coritiba,-,moises lucarelli,1,1,SP,PR,-
236,20,2003-07-20,16:00,Domingo,Criciuma,Flamengo,Criciuma,heriberto hulse,4,3,SC,RJ,SC
237,20,2003-07-20,16:00,Domingo,Goias,Sao Caetano,Goias,serra dourada,2,1,GO,SP,GO
238,20,2003-07-20,16:00,Domingo,Vitoria,Sao Paulo,Sao Paulo,barradao,0,2,BA,SP,SP
239,20,2003-07-20,18:00,Domingo,Cruzeiro,Parana,Cruzeiro,mineirao,5,1,MG,PR,MG
240,20,2003-07-20,18:00,Domingo,Vasco,Gremio,Vasco,sao januario,2,0,RJ,RS,RJ
241,21,2003-07-23,20:30,Quarta-feira,Parana,Fortaleza,Parana,pinheirao,4,1,PR,CE,PR
242,21,2003-07-23,20:30,Quarta-feira,Atletico-MG,Juventude,Atletico-MG,mineirao,2,1,MG,RS,MG
243,21,2003-07-23,20:30,Quarta-feira,Paysandu,Cruzeiro,Paysandu,mangueirao,3,0,PA,MG,PA
